Name,PhD,Undergraduate,Subject,Date,Id
Kurt Keutzer,Indiana University,unknown,EECS,1984,129
Tsu-Jae King Liu,Stanford University,Stanford University,EECS,1994,130
Daniel Klein,Stanford University,Cornell University,EECS,2004,131
John D. Kubiatowicz,Massachusetts Institute of Technology,Massachusetts Institute of Technology,EECS,1998,132
Andreas Kuehlmann,unknown,University of Technology at Ilmenau - Germany,EECS,19990,133
Edward A. Lee,UC Berkeley,Yale University,EECS,1986,134
Luke Lee,UC Berkeley,UC Berkeley,EECS,2000,135
Sergey Levine,Stanford University,Stanford University,EECS,2014,136
Chunlei Liu,Stanford University,Peking University,EECS,2005,137
Michael Lustig,Stanford University,Technion - Israel Institute of Technology,EECS,2008,138
Michel Maharbiz,UC Berkeley,Cornell University,EECS,2003,139
Jitendra Malik,Stanford University,Indian Institute of Technoloy - Kanpur,EECS,1985,140
Rikky Muller,UC Berkeley,Massachusetts Institute of Technology,EECS,2013,141
George Necula,Carnegie Mellon University,Polytechnic University of Bucharest,EECS,1998,142
Andrew R. Neureuther,University of Illinois - Urbana-Champaign,University of Illinois - Urbana-Champaign,EECS,1966,143
Ren Ng,Stanford University,Stanford University,EECS,2006,144
Clark Nguyen,UC Berkeley,UC Berkeley,EECS,1994,145
Ali Niknejad,UC Berkeley,UC Los Angeles,EECS,2000,146
Borivoje Nikolic,UC Davis,University of Belgrade,EECS,1999,147
James O'Brien,Georgia Institute of Technology,Florida International University,EECS,2000,148
Lior Pachter,Massachusetts Institute of Technology,California Institute of Technology,EECS,1999,149
Christos Papadimitriou,Princeton University,Athens Polytechnic,EECS,1976,150
Abhay Parekh,Massachusetts Institute of Technology,Johns Hopkins University,EECS,1992,151
Shyam Parekh,UC Berkeley,Birla Institute of Technology and Science - Pilani,EECS,1986,152
David A. Patterson,UC Los Angeles,UC Los Angeles,EECS,1976,153
Eric Paulos,UC Berkeley,UC Berkeley,EECS,2001,154
Vern Paxson,UC Berkeley,Stanford University,EECS,1997,155
Kristofer Pister,UC Berkeley,UC San Diego,EECS,1992,156
Kameshwar Poolla,University of Florida - Gainesville,Indian Institute of Technoloy - Bombay,EECS,1984,157
Raluca Ada Popa,Massachusetts Institute of Technology,Massachusetts Institute of Technology,EECS,2014,158
Jan M. Rabaey,KU Leuven,KU Leuven,EECS,1983,159
Prasad Raghavendra,University of Washington - Seattle,Indian Institute of Technology - Madras,EECS,2009,160
Kannan Ramchandran,Columbia University,City College of New York,EECS,1993,161
Gireeja Ranade,UC Berkeley,Massachusetts Institute of Technology,EECS,2014,162
Satish Rao,Massachusetts Institute of Technology,unknown,EECS,1989,163
Sylvia Ratnasamy,UC Berkeley,University of Pune,EECS,2002,164
Benjamin Recht,Massachusetts Institute of Technology,University of Chicago - Chicago,EECS,2006,165
Jaijeet Roychowdhury,UC Berkeley,Indian Institute of Technoloy - Kanpur,EECS,1993,166
Stuart J. Russell,Stanford University,Oxford University,EECS,1986,167
Anant Sahai,Massachusetts Institute of Technology,UC Berkeley,EECS,2001,168
Sayeef Salahuddin,Purdue University,Bangladesh University of Engineering and Technology,EECS,2007,169
Seth R. Sanders,Massachusetts Institute of Technology,Massachusetts Institute of Technology,EECS,1989,170
Alberto L. Sangiovanni-Vincentelli,Politecnico di Milano,Politecnico di Milano,EECS,1971,171
S. Shankar Shastry,UC Berkeley,Indian Institute of Technology - Bombay,EECS,1981,172
Koushik Sen,University of Illinois - Urbana-Champaign,Indian Institite of Technology - Kanpur,EECS,2006,173
Carlo H. S_quin,Institute of Applied Physics - Basel,University of Basel,EECS,1969,174
Sanjit A. Seshia,Carnegie Mellon University,Indian Institute of Technology - Bombay,EECS,2005,175
Scott Shenker,University of Chicago,Brown University,EECS,1983,176
Jonathan Shewchuk,Carnegie Mellon University,Simon Fraser University,EECS,1997,177
Alistair Sinclair,University of Edinburgh,Cambridge University,EECS,1988,178
Dawn Song,UC Berkeley,Tsinghua Univeristy,EECS,2002,179
Yun Song,Stanford University,Massachusetts Institute of Technology,EECS,2001,180
Costas J. Spanos,Carnegie Mellon University,National Technical University of Athens,EECS,1985,181
Ion Stoica,Carnegie Mellon University,Polytechnic University of Bucharest,EECS,2000,182
Vladimir Stojanovic,Stanford University,University of Belgrade,EECS,2005,183
Bernd Sturmfels,University of Washington - Seattle,TU Darmstadt,EECS,1987,184
Vivek Subramanian,Stanford University,Louisiana State University - Baton Rouge,EECS,1998,185
Claire Tomlin,UC Berkeley,University of Waterloo,EECS,1998,186
Luca Trevisan,Sapienza University of Rome,unknown,EECS,0,187
Stavros Tripakis,Joseph Fourier University,unknown,EECS,1998,188
David Tse,Massachusetts Institute of Technology,University of Waterloo,EECS,1994,189
Doug Tygar,Harvard University,UC Berkeley,EECS,1995,190
Pravin Varaiya,UC Berkeley,University of Bombay,EECS,1966,191
Umesh Vazirani,UC Berkeley,Massachusetts Institute of Technology,EECS,1986,192
Alexandra von Meier,UC Berkeley,UC Berkeley,EECS,1995,193
David Wagner,UC Berkeley,Princeton University,EECS,2000,194
Martin Wainwright,Massachusetts Institute of Technology,University of Waterloo,EECS,2002,195
Laura Waller,Massachusetts Institute of Technology,Massachusetts Institute of Technology,EECS,2010,196
Jean Walrand,UC Berkeley,University of Liege,EECS,1979,197
John Wawrzynek,California Institute of Technology,SUNY Buffalo,EECS,1987,198
Adam Wolisz,Silesian University of Technology,Silesian University of Technology,EECS,1976,199
Ming C. Wu,UC Berkeley,National Taiwan University,EECS,1988,200
Eli Yablonovitch,Harvard University,McGill University,EECS,1972,201
Katherine Yelick,Massachusetts Institute of Technology,Massachusetts Institute of Technology,EECS,1991,202
Nir Yosef,unknown,unknown,EECS,0,203
Bin Yu,UC Berkeley,Peking University,EECS,1990,204
Avideh Zakhor,Massachusetts Institute of Technology,California Institute of Technology,EECS,1987,205
